Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200010539;27;6;2022;18:00;1;73;73072;1;1;2;7;D25;45.5129403206;6.2058079541
202200010551;2;8;2022;13:30;1;56;56179;1;1;1;1;Kersamedy;47.808738;-3.404571
202200010555;3;8;2022;11:30;1;65;65329;1;1;1;7;vallée de nistos;43.003149;0.464417
202200010570;3;8;2022;08:20;1;66;66167;1;1;1;1;;42.467950012;2.0355606
202200010589;2;8;2022;07:28;1;13;13110;1;1;7;2;Route de Saint-Maximin;43.465469;5.728941
202200010591;2;8;2022;10:42;1;71;71192;1;9;1;3;"Lieu dit ""la Chazée""";46.843961;4.195286
202200010592;2;8;2022;14:28;1;88;88531;1;4;1;6;d34d;48.049929;6.987069
202200010615;31;7;2022;22:40;5;987;98735;2;1;1;3;FARE UTE;-17.530652;-149.56815
202200010633;1;8;2022;02:35;5;74;74012;2;6;1;2;EUROPE (AVENUE DE L');46.18061;6.23543
202200010635;1;8;2022;00:05;5;73;73011;2;2;1;1;D990 / CHAUTEMPS;45.6746403198;6.3878026354
202200010639;25;9;2022;19:50;5;67;67482;2;4;1;3;PRESIDENT WILSON (BOULEVARD);48.58959;7.74094
202200010643;29;7;2022;18:29;1;63;63113;2;1;1;3;JACQUARD (RUE);45.7913850234;3.0783482194
202200010645;26;6;2022;09:10;1;62;62510;2;3;1;3;LECLERC (AV DU MARECHAL);50.42242;2.77577
202200010655;1;8;2022;10:40;1;13;13028;2;2;1;2;BAGUIER (AVENUE DU);43.1908;5.64086
202200010662;1;8;2022;22:15;5;75;75113;2;1;1;6;RUE DE TOLBIAC;48.829468;2.374749
202200010664;31;7;2022;23:45;5;75;75110;2;2;1;3;QUAI DE JEMMAPES;48.871027;2.365908
202200010675;1;8;2022;07:10;1;59;59016;2;3;1;3;Rue du Lac;50.996654;2.335206
202200010691;1;8;2022;22:50;5;29;29072;2;3;1;2;Rue Danielle Casanova;47.7965866027;-4.2842438221
202200010697;21;11;2022;09:10;1;78;78455;2;1;2;3;11 Chemin des Princes;48.840701;2.067089
202200010732;2;8;2022;14:45;1;06;06078;1;1;1;2;D6102;43.904108;7.187355
202200010734;2;8;2022;08:00;1;05;05065;2;6;1;3;rond point du serre;44.657939;6.644937
202200010752;30;7;2022;12:15;1;35;35031;2;1;1;3;Rue Théophile Remond;48.183797;-1.436248
202200010754;2;8;2022;17:20;1;27;27022;2;1;7;3;D316;49.170215;1.349977
202200010776;31;5;2022;13:50;1;69;69386;2;3;2;3;Cours Lafayette;45.76375;4.86861
202200010780;31;5;2022;18:25;1;69;69389;2;1;1;3;Pont Georges Clémenceau;45.77484;4.80939
202200010801;19;11;2022;12:55;1;974;97407;2;1;1;3;20 DECEMBRE 1948(AVENUE DU);-20.93686;55.30046
202200010808;14;3;2022;18:00;1;50;50502;2;3;1;3;Rue de la Varroquière;49.1098664;-1.0847059
202200010813;21;4;2022;14:10;1;78;78517;1;1;1;7;D 906;48.651866;1.87482
202200010828;14;3;2022;18:35;5;988;98818;2;3;1;3;PROMENADE ROGER LAROQUE/ROUTE DE L'AQUARIUM;-22.30067;166.43794
202200010832;14;3;2022;18:25;2;974;97409;2;2;1;3;RES DES LONGANIS;-20.97293;55.6569
202200010847;31;5;2022;16:20;1;69;69264;1;1;1;3;Boulevard Burdeau;45.9978;4.73382
202200010857;17;3;2022;15:15;1;69;69381;2;3;1;3;Quai Saint Vincent;45.7682558416;4.8156846939
202200010885;19;11;2022;18:45;3;69;69266;2;6;1;2;Rue Gabriel Péri;45.77062;4.86342
202200010887;13;3;2022;15:30;1;971;97101;2;1;1;4;Frédéric JALTON;16.27643;-61.50131
202200010937;31;5;2022;07:45;1;49;49246;2;1;1;3;GAULLE RUE CHARLES DE;47.42487;-0.52513
202200010953;10;11;2022;14:32;1;63;63113;2;8;1;3;JOUHAUX (BD LEON);45.79427;3.11726
202200010955;30;5;2022;17:00;1;37;37214;2;6;1;3;BORDIERS (RUE DES);47.4189991871;0.6737011671
202200010962;18;11;2022;12:30;1;59;59360;2;4;1;2;MOCQUET GUY RUE;50.60752;3.02138
202200010969;17;3;2022;15:40;1;80;80001;2;1;1;7;PETIT MARAIS (du);50.0962498864;1.837259531
202200010972;30;5;2022;16:35;1;35;35051;2;1;1;3;EPINE (RUE DE LA BELLE);48.12374;-1.59785
202200010998;14;3;2022;19:00;5;77;77307;2;1;1;3;RUE DE ROME;48.85905;2.75835
202200011000;30;5;2022;08:25;1;27;27681;2;6;1;3;FOCH (AVENUE DU MARECHAL);49.09666;1.47514
202200011010;30;5;2022;13:00;1;22;22113;1;4;1;3;MIN COAR (ROUTE DE);48.7445170179;-3.5006590784
202200011014;23;12;2022;23:05;5;987;98714;2;1;1;1;Vaitape;-16.503783;-151.748361
202200011020;18;11;2022;08:00;2;45;45274;2;6;1;3;D951 PR 86 + 894;47.86796;1.95762
202200011021;24;12;2022;18:30;3;971;97116;2;1;1;1;Route de Jeanne de Kermadec;16.324464;-61.446072
202200011024;18;11;2022;18:20;5;44;44109;2;1;1;3;6 Rue du Général de Bollardière;47.20967;-1.52945
202200011025;24;12;2022;18:30;4;971;97101;1;1;1;2;N5;16.291266;-61.503181
202200011050;17;3;2022;16:30;1;69;69264;2;1;1;3;Rue de Belleville;45.99614;4.71907
202200011059;17;3;2022;09:10;1;67;67482;2;3;1;3;GEORGES WODLI (RUE);48.58936;7.73558
202200011071;31;5;2022;20:00;1;75;75120;2;2;1;3;BOULEVARD DE CHARONNE;48.8488507416;2.3993348651
202200011083;31;5;2022;18:35;1;75;75118;2;3;1;3;RUE ORDENER;48.890398;2.355827
202200011092;31;5;2022;19:45;1;75;75117;2;2;1;7;BOULEVARD DE COURCELLES;48.880855;2.31255
202200011098;11;3;2022;17:00;1;57;57672;2;1;1;6;VAUBAN (AVENUE);49.36195;6.1583
202200011099;31;5;2022;08:15;1;75;75117;2;7;1;6;RUE DE TILSITT;48.8744331196;2.2929781914
202200011119;31;5;2022;21:05;2;75;75110;2;1;1;6;BOULEVARD DE LA VILLETTE;48.884176;2.365896
202200011123;31;5;2022;14:00;1;75;75101;2;3;1;3;RUE DE RIVOLI;48.8663949174;2.3234897112
202200011137;17;3;2022;07:20;1;50;50129;2;1;1;6;LECLERC (RUE DU GENERAL);49.64108;-1.59479
202200011142;19;11;2022;11:00;1;13;13005;2;3;1;3;BEAUDINARD (ROUTE DE);43.29759;5.57379
202200011144;31;5;2022;19:00;1;94;94003;2;3;1;3;Avenue Laplace;48.80752;2.33414
202200011150;16;3;2022;18:15;1;49;49007;2;1;2;3;BEAUSSIER BOULEVARD;47.47796;-0.59854
202200011163;15;3;2022;17:38;1;49;49246;2;1;1;3;HUGO VICTOR RUE;47.42948;-0.52792
202200011184;25;12;2022;13:00;1;32;32107;2;1;1;7;Chemin du Lion;43.960689;0.379812
202200011189;14;3;2022;17:30;1;44;44184;2;6;1;3;Rue Gabriel Fauré;47.27002;-2.23912
202200011193;16;3;2022;15:31;1;37;37195;2;2;2;3;HAUTES MARCHES (RUE DES);47.3847868904;0.6541264057
202200011196;31;5;2022;18:25;1;92;92051;2;2;1;3;ACHILLE PERETTI (AVENUE, N° 90 A 96 ET 9;48.884438;2.268969
202200011203;16;3;2022;11:33;2;37;37261;2;3;1;6;GIRAUDEAU (RUE);47.3853843665;0.6767293811
202200011205;19;11;2022;16:35;1;75;75115;2;7;1;6;PLACE VIOLET;48.844668;2.290511
202200011214;18;11;2022;23:00;5;75;75111;2;2;1;3;RUE DE LA ROQUETTE;48.859337;2.38686
202200011216;31;5;2022;10:52;1;92;92044;2;3;1;3;MARIUS AUFAN(RUE) 69+ ET 80+;48.895902;2.279866
202200011233;17;3;2022;16:20;1;33;33529;2;1;1;3;rue Lagrua;44.63713;-1.15418
202200011241;25;12;2022;18:05;3;85;85130;1;1;1;4;RD40;46.756526;-1.7074569
202200011245;14;3;2022;12:14;1;28;28085;2;1;1;3;EIFFEL (RUE GUSTAVE);48.4396;1.53231
202200011254;19;11;2022;12:25;1;93;93001;2;3;1;3;Avenue Jean Jaurès / Rue Emile Dubois;48.91359;2.40275
202200011257;19;11;2022;15:45;1;92;92062;2;9;1;1;GODEFROY (RUE) DU 1 AU 17;48.880922;2.242873
202200011258;26;12;2022;15:35;1;48;48016;2;4;7;3;N88;44.482553;3.457598
202200011283;10;3;2022;16:20;1;22;22113;2;6;1;3;RENAN (AVENUE ERNEST);48.73251;-3.46174
202200011290;20;11;2022;06:35;1;974;97404;2;6;1;3;Avenue Octave Bénard;-21.272494;55.334487
202200011293;20;11;2022;10:15;1;974;97414;1;1;1;2;Route nationale 2001;-21.273059;55.389977
202200011305;14;3;2022;14:29;1;14;14715;2;1;1;6;D513;49.365458;0.084136
202200011362;17;3;2022;15:55;1;09;09225;2;1;3;3;VICTOR HUGO RUE;43.11557;1.61445
202200011364;9;5;2022;09:25;1;14;14445;1;1;1;2;D10;49.19853;-0.86569
202200011369;13;3;2022;11:00;1;06;06123;2;1;2;2;BARONNE ROUTE DE LA;43.714961;7.17707
202200011371;23;12;2022;12:10;1;88;88413;2;1;2;1;Rue d'ALSACE;48.27714;6.96108
202200011383;27;4;2022;19:45;1;94;94056;2;2;1;3;Rue Paul Doumer / Rue de Brie;48.69622;2.55405
202200011397;30;5;2022;17:47;1;01;01261;2;2;1;3;Grande Rue;45.956653;4.940331
202200011407;17;3;2022;08:30;1;75;75115;2;2;1;3;RUE DE VAUGIRARD;48.844424;2.31769
202200011409;27;4;2022;08:10;1;93;93027;2;6;1;3;Avenue Jean Jaurès / Rue Rateau;48.9251075831;2.4005877972
202200011413;30;5;2022;09:05;1;31;31044;2;1;1;2;Avenue de Calvel;43.601931;1.507584
202200011416;30;5;2022;17:50;1;88;88218;1;1;1;7;Route de Gérardmer;48.140035;6.799464
202200011422;17;3;2022;00:20;5;75;75111;2;1;1;3;RUE RICHARD LENOIR;48.8546539634;2.3823018372
202200011427;31;5;2022;16:10;1;2B;2B353;2;9;1;1;pietranera;42.7128667388;9.4543480514
202200011433;27;4;2022;18:30;1;92;92050;2;1;1;3;BECQUET RUE;48.89775;2.19927
202200011437;27;4;2022;21:30;5;92;92044;2;4;1;3;ANDRE CITROEN (RUE);48.8985269262;2.2834436595
202200011439;17;3;2022;12:25;1;75;75109;2;3;1;2;RUE CONDORCET;48.879564;2.347427
202200011447;17;3;2022;15:50;1;75;75108;2;7;1;4;PLACE SAINT AUGUSTIN;48.8746359375;2.3200437427
202200011454;31;5;2022;15:40;1;47;47195;2;2;1;3;88 Allées d Albret;44.136939;0.336499
202200011467;16;3;2022;16:30;1;94;94068;2;1;1;6;22 Avenue du Raincy;48.78756;2.48028
202200011481;30;5;2022;14:25;1;50;50353;2;1;1;1;Lieu-dit La Caserne;48.61467;-1.510317
