Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202100015142;231 471;174 645;B01;1;1;4;2;1980.0;1;8;0;-1;-1; -1;-1;42.0
202100015183;231 382;174 571;A01;1;1;3;1;1967.0;0;0;-1;-1;0;0;-1;55.0
202100015187;231 372;174 563;A01;1;1;1;1;1988.0;4;1;-1;-1;0;0;-1;34.0
202100015187;231 373;174 564;B01;1;1;3;1;1947.0;5;2;-1;-1;0;0;-1;75.0
202100015224;231 283;174 488;B01;1;1;4;1;1975.0;1;8;0;-1;0;0;-1;47.0
202100015224;231 284;174 489;A01;1;1;1;2;1975.0;5;8;0;-1;0;0;-1;47.0
202100015226;231 279;174 485;A01;1;1;1;1;2005.0;9;8;0;-1;0;0;-1;17.0
202100015226;231 280;174 485;A01;10;3;4;2;1978.0;9;0;-1;-1;4;3;1;44.0
202100015227;231 278;174 484;A01;1;1;4;1;1972.0;9;8;8;-1;0;0;-1;50.0
202100015231;231 271;174 478;A01;1;1;4;1;1993.0;5;8;0;-1;0;0;-1;29.0
202100015234;231 265;174 473;B01;1;1;4;2;1975.0;5;0;0;-1;-1; -1;-1;47.0
202100015234;231 266;174 474;A01;1;1;1;1;1998.0;1;1;0;-1;-1; -1;-1;24.0
202100015237;231 259;174 468;A01;2;1;4;1;1974.0;1;8;0;-1;-1; -1;-1;48.0
202100015237;231 260;174 469;B01;1;1;1;2;2002.0;9;8;0;-1;-1; -1;-1;20.0
202100015238;231 256;174 466;A01;1;1;1;1;1985.0;4;8;8;-1;-1; -1;-1;37.0
202100015238;231 257;174 466;A01;4;2;4;2;1943.0;0;8;8;-1;-1; -1;-1;79.0
202100015238;231 258;174 467;B01;1;1;4;1;1977.0;3;8;0;-1;-1; -1;-1;45.0
202100015263;231 199;174 429;A01;1;1;2;1;1948.0;5;2;-1;-1;0;0;-1;74.0
202100015288;231 148;174 384;A01;1;1;3;1;1943.0;5;2;6;-1;0;0;-1;79.0
202100015288;231 149;174 385;B01;1;1;1;1;1985.0;5;1;-1;-1;0;0;-1;37.0
202100015289;231 146;174 382;B01;1;1;4;1;1960.0;5;2;-1;-1;0;0;-1;62.0
202100015289;231 147;174 383;A01;1;1;3;1;2004.0;5;2;6;-1;0;0;-1;18.0
202100015316;231 074;174 329;A01;1;1;1;1;1992.0;4;1;0;-1;-1; -1;-1;30.0
202100015316;231 075;174 330;B01;1;1;4;1;1995.0;5;8;0;-1;-1; -1;-1;27.0
202100015317;231 072;174 327;B01;1;1;4;2;1967.0;0;2;8;-1;-1; -1;-1;55.0
202100015317;231 073;174 328;A01;1;1;1;1;1997.0;0;1;-1;-1;-1; -1;-1;25.0
202100015356;230 983;174 263;Z01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202100015356;230 984;174 264;A01;1;1;4;1;1992.0;4;2;8;-1;0;0;-1;30.0
202100015369;230 947;174 235;B01;1;1;4;1;1991.0;4;8;0;-1;-1; -1;-1;31.0
202100015369;230 948;174 236;A01;1;1;1;2;1981.0;5;8;0;-1;-1; -1;-1;41.0
202100015390;230 899;174 197;B01;1;1;3;1;1979.0;5;0;-1;-1;0;0;-1;43.0
202100015390;230 900;174 198;A01;1;1;1;1;1946.0;5;1;-1;-1;0;0;-1;76.0
202100015395;230 886;174 188;A01;1;1;2;1;1945.0;5;2;-1;-1;0;0;-1;77.0
202100015397;230 882;174 184;A01;1;1;4;1;2007.0;5;2;6;-1;0;0;-1;15.0
202100015397;230 883;174 185;B01;1;1;3;2;1962.0;5;0;-1;-1;0;0;-1;60.0
202100015430;230 795;174 126;A01;1;1;3;1;1957.0;5;2;-1;-1;0;0;-1;65.0
202100015431;230 793;174 124;B01;1;1;4;1;1965.0;1;0;-1;-1;0;0;-1;57.0
202100015431;230 794;174 125;A01;1;1;1;2;1999.0;1;1;-1;-1;0;0;-1;23.0
202100015471;230 699;174 047;A01;1;1;4;1;1992.0;5;8;0;-1;-1; -1;-1;30.0
202100015472;230 697;174 045;B01;1;1;4;1;2004.0;0;8;0;-1;-1; -1;-1;18.0
202100015472;230 698;174 046;A01;1;1;1;1;1989.0;0;2;8;-1;-1; -1;-1;33.0
202100015508;230 615;173 981;A01;1;1;1;1;1990.0;5;2;6;-1;-1; -1;-1;32.0
202100015508;230 616;173 982;B01;1;1;4;1;1975.0;5;8;0;-1;-1; -1;-1;47.0
202100015526;230 547;173 933;B01;1;1;1;1;1963.0;0;1;-1;-1;-1; -1;-1;59.0
202100015526;230 548;173 933;B01;2;2;1;2;2003.0;0;1;-1;-1;-1; -1;-1;19.0
202100015526;230 549;173 934;A01;1;1;4;1;1949.0;5;2;-1;-1;-1; -1;-1;73.0
202100015554;230 486;173 881;A01;1;1;1;1;1978.0;5;1;8;-1;-1; -1;-1;44.0
202100015554;230 487;173 882;B01;1;1;4;1;2002.0;5;8;8;-1;-1; -1;-1;20.0
202100015557;230 480;173 876;A01;1;1;4;1;1949.0;0;2;0;-1;0;0;-1;73.0
202100015557;230 481;173 877;B01;1;1;1;1;2001.0;0;1;0;-1;0;0;-1;21.0
