Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
201200001101;3;768.0;;;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;59.0;1.0;0.0;1.0;0.0
201200001104;3;34.0;;B;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;99.0
201200001204;3;770.0;;;2.0;2.0;0.0;0.0;0.0;3.0;1.0;0.0;69.0;1.0;0.0;1.0;0.0
201200001231;4;0.0;;;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201200001232;9;0.0;;;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;80.0;1.0;0.0;1.0;0.0
201200001251;3;109.0;;;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;87.0;1.0;5.0;1.0;99.0
201200001255;3;46.0;;;0.0;2.0;12.0;800.0;0.0;0.0;0.0;0.0;68.0;1.0;5.0;1.0;99.0
201200001279;3;65.0;;D;2.0;2.0;0.0;600.0;1.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;99.0
201200001288;3;779.0;;;2.0;2.0;15.0;687.0;0.0;1.0;1.0;0.0;61.0;1.0;0.0;1.0;99.0
201200001292;3;779.0;;;2.0;2.0;10.0;300.0;0.0;1.0;1.0;0.0;78.0;1.0;0.0;1.0;0.0
201200001336;3;119.0;;;2.0;2.0;9.0;421.0;1.0;1.0;1.0;0.0;158.0;1.0;0.0;1.0;0.0
201200001337;3;781.0;;;2.0;2.0;35.0;546.0;0.0;1.0;1.0;0.0;66.0;1.0;0.0;1.0;99.0
201200001347;4;0.0;;;2.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;40.0;2.0;0.0;1.0;99.0
201200001348;4;0.0;;;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
201200001351;3;781.0;;;2.0;2.0;31.0;320.0;0.0;1.0;1.0;0.0;64.0;1.0;0.0;1.0;0.0
201200001356;3;781.0;;;3.0;2.0;9.0;100.0;0.0;1.0;1.0;10.0;60.0;1.0;0.0;1.0;0.0
201200001359;3;33.0;;;0.0;2.0;17.0;680.0;0.0;1.0;0.0;60.0;60.0;1.0;5.0;1.0;0.0
