Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
201900032034;138 246 108;A01;1;1;0;2;1;0;5;
201900032035;138 246 111;A01;3;1;12;0;1;1;5;
201900032037;138 246 106;A01;0;1;0;-1;0;0;5;
201900032063;138 246 057;A01;1;1;0;2;1;1;6;
201900032086;138 246 019;A01;1;1;0;2;8;19;5;
201900032097;138 245 998;B01;2;1;1;0;2;2;5;
201900032118;138 245 958;B01;1;1;0;0;0;19;5;
201900032169;138 245 867;A01;1;1;0;2;8;19;5;
201900032178;138 245 850;B01;2;1;0;2;4;1;5;
201900032193;138 245 822;B01;1;1;0;2;7;5;5;
201900032209;138 245 787;C01;3;1;0;2;1;1;5;
201900032209;138 245 788;B01;3;1;0;2;1;1;5;
201900032209;138 245 789;A01;3;1;0;2;1;1;5;
201900032215;138 245 779;B01;1;1;0;2;7;15;5;
201900032221;138 245 768;B01;1;1;0;2;1;1;5;
201900032234;138 245 749;B01;1;1;0;2;7;1;5;
201900032362;138 245 463;A01;1;1;0;2;1;11;5;
201900032376;138 245 438;B01;2;1;0;2;1;25;5;
201900032382;138 245 429;B01;1;1;0;2;8;0;0;
201900032394;138 245 411;B01;0;1;0;2;1;1;5;
201900032399;138 245 401;B01;2;1;0;2;1;1;5;
201900032403;138 245 393;A01;2;1;0;2;1;5;5;
201900032414;138 245 365;A01;3;1;0;2;8;26;6;
201900032420;138 245 356;B01;2;1;0;2;1;1;5;
201900032421;138 245 353;B01;2;1;1;0;1;1;5;
201900032423;138 245 350;A01;1;1;0;1;1;1;5;
201900032429;138 245 338;B01;0;1;0;2;1;0;5;
201900032441;138 245 321;B01;1;1;0;2;1;1;5;
201900032442;138 245 319;B01;1;1;0;2;3;19;5;
201900032460;138 245 286;B01;2;1;0;2;2;7;5;
201900032482;138 245 251;B01;2;1;0;2;1;1;5;
201900032515;138 245 192;A01;2;1;0;2;1;5;5;
201900032526;138 245 170;A01;3;1;0;1;1;1;5;
201900032532;138 245 160;B01;3;1;0;2;1;1;6;
201900032533;138 245 158;B01;2;1;0;2;4;1;5;
201900032542;138 245 146;B01;2;1;0;2;1;23;5;
201900032544;138 245 142;B01;2;1;0;2;1;1;5;
201900032557;138 245 119;A01;1;1;0;2;1;17;6;
201900032571;138 245 099;A01;2;1;0;0;0;1;5;
201900032627;138 244 964;B01;2;1;0;2;8;1;5;
201900032631;138 244 949;C01;2;1;0;2;6;19;5;
201900032631;138 244 950;B01;2;1;0;2;3;19;5;
201900032636;138 244 940;A01;1;1;0;0;0;1;5;
201900032646;138 244 924;B01;3;1;0;2;3;1;5;
201900032649;138 244 917;A01;0;1;0;2;7;19;5;
201900032675;138 244 855;C01;1;1;0;2;3;1;5;
201900032675;138 244 856;B01;1;1;0;2;1;1;5;
201900032675;138 244 857;D01;1;1;0;2;1;1;5;
201900032696;138 244 808;B01;1;1;0;2;4;2;5;
201900032699;138 244 802;B01;0;1;0;2;1;1;5;
201900032700;138 244 796;B01;3;1;0;2;4;1;5;
201900032710;138 244 775;A01;2;1;0;2;3;5;0;
201900032713;138 244 769;A01;3;1;0;1;1;25;5;
201900032714;138 244 767;B01;3;1;0;6;8;2;5;
201900032714;138 244 768;A01;3;1;0;6;7;1;5;
201900032716;138 244 763;A01;1;1;0;2;3;5;5;
201900032717;138 244 762;A01;2;1;0;2;1;26;5;
201900032728;138 244 735;A01;3;1;0;0;0;0;5;
201900032734;138 244 725;B01;2;1;0;2;8;1;5;
201900032764;138 244 663;B01;2;1;0;0;4;15;5;
201900032767;138 244 660;B01;2;1;0;2;8;1;5;
201900032772;138 244 652;A01;1;1;0;2;2;26;5;
201900032774;138 244 648;B01;1;1;0;2;3;1;5;
201900032775;138 244 646;B01;3;1;0;2;8;19;5;
201900032783;138 244 631;A01;1;1;0;2;1;1;5;
201900032784;138 244 628;B01;1;1;0;2;1;1;5;
201900032786;138 244 625;B01;2;1;0;2;1;1;5;
201900032787;138 244 623;B01;1;1;0;2;4;1;5;
201900032788;138 244 621;B01;3;1;0;2;1;1;5;
201900032799;138 244 595;D01;2;1;0;2;9;1;5;
201900032859;138 244 481;B01;1;1;0;2;1;1;5;
201900032889;138 244 408;A01;1;1;0;2;4;15;5;
201900032901;138 244 380;B01;0;1;0;2;1;1;5;
201900032934;138 244 310;A01;2;1;0;2;1;15;5;
201900032941;138 244 297;B01;3;1;0;2;7;0;5;
201900032954;138 244 276;A01;3;1;0;0;8;26;5;
201900032956;138 244 273;B01;2;1;0;2;4;1;5;
201900032957;138 244 271;B01;2;1;0;2;7;1;5;
201900032988;138 244 214;B01;1;1;0;2;1;1;0;
201900032988;138 244 215;A01;2;1;0;2;1;1;0;
201900032990;138 244 211;B01;2;1;0;2;6;12;5;
201900032992;138 244 206;A01;3;1;0;2;7;19;5;
201900032992;138 244 210;B01;0;1;0;2;1;1;5;
201900033018;138 244 162;A01;2;1;0;1;1;1;5;
201900033023;138 244 153;B01;2;1;0;2;7;19;5;
201900033034;138 244 131;B01;1;1;0;2;3;18;5;
201900033036;138 244 129;B01;1;1;0;2;1;1;5;
201900033037;138 244 125;A01;1;1;0;1;1;25;5;
201900033046;138 244 108;A01;1;1;0;1;1;5;5;
201900033051;138 244 097;B01;2;1;0;2;8;18;5;
201900033053;138 244 095;A01;2;1;0;0;1;21;5;
201900033058;138 244 087;B01;2;1;0;2;1;5;5;
201900033087;138 244 036;B01;1;1;0;2;1;0;5;
201900033096;138 244 028;B01;2;1;0;2;8;19;0;
201900033098;138 244 021;A01;3;1;0;2;4;14;5;
201900033104;138 244 012;A01;1;1;14;0;1;1;5;
201900033112;138 243 998;A01;2;1;0;0;1;1;5;
201900033116;138 243 989;B01;0;1;0;0;4;2;5;
201900033126;138 243 971;B01;2;1;0;0;0;2;5;
201900033138;138 243 951;B01;1;1;0;2;8;1;5;
201900033168;138 243 891;B01;1;1;0;2;6;13;5;
201900033183;138 243 857;B01;3;1;0;2;1;19;5;
201900033184;138 243 855;A01;2;1;0;2;1;1;5;
201900033188;138 243 847;A01;2;1;0;0;1;2;5;
201900033188;138 243 848;B01;2;1;0;0;4;2;5;
201900033216;138 243 810;B01;3;1;0;2;1;1;5;
201900033232;138 243 780;B01;1;1;0;2;0;0;5;
201900033242;138 243 761;B01;2;1;0;2;0;0;0;
201900033247;138 243 754;B01;3;1;0;2;7;1;5;
201900033279;138 243 671;B01;1;1;0;2;8;0;5;
201900033280;138 243 669;B01;2;1;0;2;1;1;5;
201900033284;138 243 663;B01;1;1;0;2;4;1;5;
201900033318;138 243 594;B01;3;1;0;2;1;1;5;
201900033332;138 243 564;B01;1;1;0;2;3;1;5;
201900033339;138 243 552;A01;1;1;0;2;8;13;5;
201900033339;138 243 553;B01;1;1;0;2;7;17;5;
201900033341;138 243 549;A01;1;1;0;1;2;1;5;
201900033354;138 243 530;A01;1;1;0;1;1;25;6;
201900033359;138 243 522;A01;3;1;0;2;5;19;5;
201900033381;138 243 467;B01;1;1;0;2;0;0;5;
201900033385;138 243 458;A01;3;1;0;2;1;19;5;
201900033391;138 243 446;B01;3;1;0;2;1;19;5;
201900033441;138 243 357;A01;1;1;0;1;1;1;5;
201900033445;138 243 350;B01;2;1;0;2;2;1;5;
201900033463;138 243 317;B01;2;1;0;2;1;21;5;
201900033468;138 243 305;B01;2;1;0;2;2;1;5;
201900033469;138 243 304;B01;3;1;0;2;1;19;5;
201900033471;138 243 300;A01;2;1;0;2;1;2;5;
201900033476;138 243 293;A01;2;1;2;0;4;1;5;
201900033481;138 243 284;B01;3;1;0;0;4;2;5;
201900033486;138 243 273;B01;1;1;0;0;3;1;5;
201900033487;138 243 272;B01;1;1;0;2;1;1;5;
201900033493;138 243 258;A01;2;1;0;2;1;13;5;
201900033495;138 243 255;B01;2;1;0;2;4;1;5;
201900033495;138 243 256;A01;2;1;0;2;1;1;5;
201900033497;138 243 252;B01;1;1;0;2;7;1;5;
201900033511;138 243 230;A01;3;1;0;0;8;9;5;
201900033512;138 243 228;B01;1;1;0;2;8;1;5;
201900033522;138 243 209;C01;2;1;0;2;0;1;5;
201900033522;138 243 210;B01;2;1;0;2;8;13;5;
201900033524;138 243 206;B01;3;1;0;2;7;26;0;
201900033563;138 243 130;B01;1;1;0;2;4;19;5;
201900033570;138 243 114;B01;2;1;0;2;4;14;0;
201900033590;138 243 079;B01;2;1;0;2;1;1;0;
201900033601;138 243 062;A01;1;1;16;0;0;1;5;
201900033612;138 243 045;C01;2;1;0;2;6;1;5;
201900033644;138 242 984;B01;3;1;0;2;5;1;5;
201900033645;138 242 982;A01;2;1;0;2;1;9;5;
201900033648;138 242 977;B01;3;1;0;2;1;1;5;
201900033722;138 242 830;B01;0;1;1;0;1;1;0;
201900033724;138 242 828;A01;1;1;0;2;4;1;5;
201900033731;138 242 817;B01;2;1;0;0;1;1;5;
