Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000001964;4;;0;;2;2;0;1;(1);(1);3;; -1;2;0;1;50
202000001971;4;;0;;2;2;1;1;(1);(1);1;; -1;2;9;1;50
202000001982;3;910;0;;3;2;3;1;0;0;1;; -1;2;0;1;50
202000001992;4;PARIS (RUE DE);0;;1;1;1;1;0;0;3;; -1;1;5;1;50
202000001998;3;913;0;D;2;2;0;2;40;400;1;; -1;1;0;1;80
202000001999;2;44;0;;2;2;0;1;93;600;3;; -1;1;0;1;50
202000002001;3;202;0;;1;1;0;1;10;50;2;; -1;1;0;1;50
202000002010;4;FITTE (ALL CHARLES DE) DU 39AU 109;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000002028;3;D12;-1;;2;2;0;4;5;400;1;; -1;2;0;1;80
202000002064;3;49;-1;;2;2;0;1;18;700;1;; -1;1;0;1;80
202000002065;4;;0;;2;4;0;1;228;0;1;; -1;2;0;1;30
202000002075;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000002078;4;;0;;2;4;1;1;0;0;1;; -1;1;-1;5;30
202000002081;4;;0;;1;5;1;1;2;0;1;; -1;1;-1;5;50
202000002086;4;;0;;1;1;2;1;77;0;1;; -1;2;-1;5;50
202000002087;4;;0;;2;4;1;1;0;0;1;; -1;1;-1;5;50
202000002092;3;559;-1;;2;2;1;1;(1);(1);1;; -1;1;0;5;-1
202000002093;4;;0;;1;2;0;1;7;0;1;; -1;2;0;1;50
202000002104;4;CARRIERES (R DES);0;;2;1;0;1;0;1;1;; -1;1;0;1;30
202000002107;3;35;0;B;2;2;0;1;1;400;1;; -1;1;5;1;50
202000002135;3;431;0;;2;2;0;2;9;700;2;; -1;1;0;1;70
202000002156;3;306;0;;-1;1;0;1;6;(1);2;; -1;1;0;1;50
202000002161;3;1;0;C;2;2;0;1;2;100;2;;4;1;0;1;80
202000002162;6;;0;;-1;-1;0;1;(1);(1);1;; -1;1;9;8;-1
202000002175;3;338;0;D;2;2;0;1;5;30;1;; -1;2;5;1;50
202000002203;4;RT1;-1;;2;2;0;1;(1);(1);3;; -1;1;0;1;50
202000002237;4;;-1;;2;2;0;2;(1);(1);2;; -1;1;9;1;80
202000002242;3;51;0;;2;2;0;1;22;100;1;; -1;1;5;1;-1
202000002264;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;30
202000002310;4;JEAN JAURES;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000002317;4;COLLIN (RENE);0;;1;2;0;1;(1);(1);1;; -1;1;0;1;50
202000002320;4;MESTREZAT (BD);0;;2;2;1;1;(1);(1);1;; -1;1;0;5;50
202000002337;4;;0;;2;4;0;2;0;0;1;; -1;1;0;1;30
202000002339;4;EMILE BAUDOT (RUE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000002352;4;;0;;2;1;1;1;0;0;1;; -1;1;0;5;30
202000002354;4;boulevard TOURASSE;0;;1;3;1;1;(1);(1);1;; -1;1;0;5;50
202000002355;4;BAB (Boulevard);0;;2;6;3;1;(1);(1);1;; -1;1;0;1;50
202000002359;4;PLACE DES CHASSEURS DE DRIANT ;0;;1;2;0;1;0;0;3;; -1;1;0;5;50
202000002360;4;CHEVALIER DE L'ESPINARD RUE;0;;1;1;2;1;0;0;2;; -1;1;0;5;30
202000002363;4;MILLET (AVENUE JEAN-FRANCOIS);0;;-1;6;0;1;0;0;1;; -1;1;5;4;50
202000002365;4;;0;;2;2;3;1;(1);(1);1;; -1;1;0;1;50
202000002369;7;;0;;1;2;0;1;0;0;1;; -1;1;2;1;50
202000002378;4;OCEAN (BD DE L'.);0;;2;4;2;2;(1);(1);3;; -1;1;0;5;50
202000002384;4;REPUBLIQUE   BOULEVARD DE LA;0;;2;4;2;2;0;0;1;; -1;1;0;1;30
202000002390;4;;0;;2;2;0;2;0;0;1;; -1;1;0;1;50
202000002400;4;;0;;1;1;0;1;50;0;1;; -1;1;0;1;50
202000002407;4;;0;;1;2;0;1;0;0;1;; -1;1;0;1;50
202000002408;4;;0;;1;3;3;1;0;0;1;; -1;1;-1;6;50
202000002414;4;;0;;1;5;1;1;0;0;1;; -1;1;-1;5;50
202000002420;3;VICTOIRE (AV DE LA);0;;2;2;0;2;0;1;1;; -1;1;0;1;50
202000002428;3;2;0;;2;2;0;1;0;0;1;; -1;1;9;1;50
202000002441;4;;-1;;2;3;1;1;(1);(1);1;; -1;1;0;1;50
202000002447;3;9;0;;1;1;0;1;2;1;2;; -1;1;9;1;50
202000002451;3;973;0;D;-1;2;0;2;(1);(1);1;; -1;1;0;1;50
202000002462;3;4;-1;;2;2;0;2;17;500;1;; -1;1;0;1;80
202000002467;3;433;0;D;2;2;1;1;(1);(1);1;; -1;1;0;5;50
202000002481;3;16;0;D;2;2;0;2;34;150;1;; -1;1;0;1;70
202000002502;4;MARE  RUE DU FIEF DE LA;0;;2;2;1;1;0;0;1;; -1;1;0;5;50
202000002503;4;EUROPE  AVENUE;0;;2;-1;0;1;0;0;1;; -1;2;0;1;50
202000002504;4;JOLIOT-CURIE   AVENUE;0;;3;4;0;1;1;0;1;; -1;2;0;1;50
202000002505;4;FONDERIES   RUE DES;0;;1;1;0;1;0;0;1;; -1;2;0;1;50
202000002515;3;33E5;0;;-1;1;0;1;34;85;4;; -1;2;0;1;50
202000002519;4; BOULEVARD DE LYON;0;;-1;2;0;1;0;0;1;; -1;1;0;1;50
202000002544;3;162;0;;2;2;0;1;1;0;3;; -1;1;0;1;50
202000002545;3;1006;-1;;2;2;-1;2;159;660;2;; -1;1;0;1;80
202000002546;4;EDOUARD VAILLANT (RUE);0;;2;1;0;1;0;0;1;; -1;1;0;8;50
202000002556;3;BARCELONE (AVENUE DE);0;;2;2;2;1;39;394;1;; -1;1;0;1;50
202000002565;3;35;-1;;2;2;0;3;(1);(1);1;; -1;2;0;3;80
202000002574;3;52;0;;2;2;0;2;25;500;1;; -1;1;5;1;80
202000002580;9;;-1;;2;-1;-1;1;(1);(1);1;; -1;1;-1;1;-1
202000002583;4;RIVAY (RUE);0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000002586;3;ROUTE DEPARTEMENTALE 15;0;;1;2;0;1;1;500;2;; -1;2;5;1;50
202000002602;3;0018;0;;2;2;0;1;3;200;1;; -1;1;0;1;50
202000002622;4;JAURES (PLACE JEAN);0;;3;2;1;1;0;0;1;; -1;2;0;5;50
202000002627;4;;0;;1;2;1;1;(1);(1);1;; -1;1;0;1;50
202000002636;4;PAIX (RUE DE LA);0;;2;2;0;1;0;1;1;; -1;2;0;1;50
202000002650;3;CAMILLE DESMOULINS (R);0;;-1;3;1;1;0;1;1;; -1;2;0;5;50
202000002654;3;86;0;;2;1;1;1;23;200;1;; -1;1;0;6;30
202000002660;4;FAUBOURG BANNIER (RUE DU );0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000002663;4;;0;;1;2;0;1;0;0;2;; -1;1;9;1;50
202000002699;4;;0;;2;3;0;1;0;0;1;; -1;1;0;1;50
202000002706;4;;0;;1;2;0;1;0;0;1;; -1;1;2;1;50
202000002711;3;902;0;;1;3;0;1;0;1;1;; -1;1;0;1;50
202000002731;4; de la Royauté;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;80
202000002753;7;75;0;;3;2;0;1;16;50;1;; -1;1;0;1;30
202000002769;4;CAMBUSTON (rue de);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000002789;4;;0;;2;3;0;1;0;0;1;; -1;1;0;1;50
202000002793;4;;0;;3;4;1;2;(1);(1);1;; -1;1;5;1;50
202000002802;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;30
202000002810;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000002811;4;ANSELME RONDENAY (R);0;;2;2;0;2;(1);(1);1;; -1;1;0;1;50
202000002822;3;907;0;;2;5;0;4;0;0;1;; -1;1;0;1;50
202000002836;4;;-1;;2;2;0;2;(1);(1);4;; -1;1;0;8;80
202000002839;3;D2;0;D;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202000002843;3;50;-1;;2;2;0;1;19;500;2;; -1;1;0;1;50
202000002864;4;;0;;2;2;0;1;0;100;3;; -1;1;0;1;50
202000002875;4;;0;;1;1;1;2;0;0;1;; -1;1;0;1;30
202000002878;4;;0;;2;3;1;1;0;0;1;; -1;1;-1;5;50
202000002880;4;;0;;-1;2;0;1;0;0;1;; -1;1;5;1;50
202000002886;3;138;0;;3;2;0;1;0;0;1;; -1;1;0;1;50
202000002904;3;64;-1;;2;2;0;1;23;550;1;;5;1;0;8;70
202000002905;3;D6098;0;;2;2;2;1;28;350;1;; -1;1;0;1;70
202000002908;3;339;-1;;2;2;0;1;0;50;1;; -1;1;0;1;50
202000002915;3;18;0;;2;2;0;1;19;50;1;;7;1;0;1;80
202000002919;3;769;-1;;2;2;0;2;75;800;2;;7;1;5;1;-1
202000002926;3;8;-1;;2;2;0;1;2;0;1;;7;1;0;1;80
202000002929;3;201;0;C;2;2;0;2;2;1;1;;5,5;1;0;1;50
202000002932;3;165;0;;2;2;0;2;6;220;1;0;5,8;1;9;1;50
202000002934;3;950;-1;;2;2;0;2;1;950;1;; -1;1;0;1;80
202000002936;3;85;0;;-1;2;0;1;16;290;1;; -1;1;0;1;70
202000002962;4;FELIX FAURE                         (AV);0;;2;3;0;1;0;0;1;; -1;1;0;1;50
202000002969;4;GAMBETTA (PLACE);0;;1;2;0;1;0;0;1;; -1;1;0;1;50
202000002972;3;403;0;;2;2;0;1;87;699;1;;7;1;0;1;80
202000002976;4;LAUSANNE (RUE DE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000002978;4;;0;;2;2;0;1;0;0;2;; -1;1;0;1;30
202000002982;3;KESLER-DEVILLERS ( AV. );0;;2;1;1;1;8;535;1;; -1;1;5;5;30
202000002983;4;LE GUEN (RUE  JULES );0;;2;2;0;1;0;0;1;; -1;1;0;1;50
