Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202300023823;27;5;2023;13:55;1;973;97302;2;3;1;3;REPUBLIQUE (BD DE LA);4,93739888; -52,32509288
202300023837;8;3;2023;08:45;1;974;97407;2;9;1;3;14 JUILLET 1789(AVENUE DU); -20,93218000;55,29450000
202300023840;5;8;2023;06:35;1;92;92035;2;3;1;3;Joffre ( avenue );48,90543000;2,24437000
202300023845;9;3;2023;08:30;1;69;69388;2;2;1;3;Rue Professeur Beauvisage;45,72756000;4,86198000
202300023854;3;8;2023;21:35;5;92;92009;2;3;2;3;BOURGUIGNONS ( RUE 33 A FIN );48,91387145;2,27363527
202300023871;24;1;2023;18:00;5;51;51043;2;6;1;3;Rue dâIsles sur Suippe;49,36031800;4,17900000
202300023873;26;5;2023;18:05;1;69;69264;2;1;7;3;Route de Frans;45,98496000;4,73038000
202300023888;27;5;2023;16:45;1;67;67218;2;3;1;3;FORT UHRICH (ROUTE DU);48,51250000;7,71810000
202300023894;27;5;2023;10:10;1;67;67267;2;3;1;3;SPORTS (RUE DES);48,56377000;7,68967000
202300023916;9;3;2023;07:00;2;65;65440;2;6;1;3;ALSACE LORRAINE (AVENUE);43,24095000;0,07364300
202300023922;1;8;2023;10:40;1;63;63001;1;6;1;3;RD2009/2019--giratoire;46,00945200;3,19727900
202300023957;9;3;2023;09:05;1;59;59350;2;1;2;2;Pont LÃ©on Jouhaux;50,63650000;3,03691000
202300023960;8;3;2023;15:00;1;59;59350;2;9;2;3;TOURNAI PONT DE;50,62197000;3,08866000
202300023970;26;1;2023;07:30;3;44;44066;1;1;2;2;Route de la paquelais;47,35251800; -1,65925700
202300023988;9;3;2023;19:30;5;37;37261;2;4;1;3;GARE DU CANAL (QUAI DE LA);47,39656000;0,70358000
202300024015;9;3;2023;18:25;1;33;33192;2;4;2;3;AllÃ©e Flora;44,76910000; -0,59709000
202300024030;25;1;2023;08:50;1;69;69387;2;3;1;3;Avenue Jean JaurÃ¨s;45,73136000;4,83361000
202300024039;9;3;2023;13:10;1;25;25056;2;2;1;3;EDISON RUE THOMAS;47,23552700;5,98273900
202300024067;9;3;2023;11:40;1;75;75118;2;2;1;3;BOULEVARD BARBES;48,88835000;2,34961100
202300024070;27;5;2023;21:58;5;75;75105;2;3;1;1;BOULEVARD SAINT MICHEL;48,85137500;2,34320200
202300024087;9;3;2023;09:25;1;75;75113;2;3;1;3;RUE JEAN ANTOINE DE BAIF;48,82806877;2,38483250
202300024093;26;1;2023;17:55;2;64;64445;2;1;1;3;rue NoguÃ©;43,29934000; -0,37120000
202300024096;4;8;2023;16:45;1;42;42302;1;1;1;2;Chemin de la Buanderie;45,48324400;4,45983200
202300024107;9;3;2023;09:15;1;75;75111;2;3;8;3;BOULEVARD RICHARD LENOIR;48,85545165;2,37047732
202300024128;2;8;2023;10:50;1;34;34074;2;1;1;1;Chemin du Moulin Neuf;43,45163800;3,05061000
202300024130;9;3;2023;09:30;1;75;75108;2;2;8;3;PLACE DE LA CONCORDE;48,86678200;2,32209700
