Num_Acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;age
201300000214;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1956.0;A01;66.0
201300000214;1.0;1;3;1;5.0;1.0;0.0;0.0;0.0;1959.0;B02;63.0
201300000265;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1957.0;A01;65.0
201300000265;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1945.0;B02;77.0
201300000269;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1990.0;A01;32.0
201300000269;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1990.0;B02;32.0
201300000336;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1952.0;B02;70.0
201300000336;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1980.0;A01;42.0
201300000339;1.0;1;2;1;5.0;21.0;0.0;0.0;0.0;1950.0;C03;72.0
201300000339;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1979.0;B02;43.0
201300000339;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1975.0;A01;47.0
201300000348;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1979.0;A01;43.0
201300000348;1.0;1;4;1;5.0;22.0;0.0;0.0;0.0;2001.0;B02;21.0
201300000356;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1981.0;A01;41.0
201300000356;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1991.0;B02;31.0
201300000356;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1991.0;C03;31.0
201300000356;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1976.0;D04;46.0
201300000414;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1961.0;B02;61.0
201300000414;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1973.0;A01;49.0
201300000437;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1998.0;A01;24.0
201300000437;1.0;1;4;1;9.0;11.0;0.0;0.0;0.0;1989.0;B02;33.0
201300000447;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1960.0;B02;62.0
201300000447;1.0;1;2;1;5.0;22.0;0.0;0.0;0.0;1953.0;A01;69.0
201300000452;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1977.0;B02;45.0
201300000452;1.0;1;3;1;5.0;42.0;0.0;0.0;0.0;1991.0;A01;31.0
201300000462;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1979.0;A01;43.0
201300000462;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1948.0;B02;74.0
201300000475;1.0;1;3;2;5.0;21.0;0.0;0.0;0.0;1999.0;A01;23.0
201300000476;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1958.0;A01;64.0
201300000476;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1953.0;B02;69.0
201300000502;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1950.0;B02;72.0
201300000502;1.0;1;1;1;4.0;13.0;0.0;0.0;0.0;1970.0;A01;52.0
201300000518;1.0;1;4;2;5.0;41.0;0.0;0.0;0.0;1968.0;B02;54.0
201300000518;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1966.0;A01;56.0
201300000518;2.0;2;1;2;5.0;11.0;0.0;0.0;0.0;1988.0;A01;34.0
201300000571;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1988.0;B02;34.0
201300000571;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1951.0;A01;71.0
201300000628;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1991.0;C03;31.0
201300000628;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1984.0;A01;38.0
